Category,Title,Brand,Price (INR),Rating,Review Count,Product Badge,Product URL,Image URL,Delivery Info,Discount
laptop,"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver,1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",,,3.8 out of 5 stars,26,,,https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,,
laptop,"ASUS Vivobook Go 14, AMD Ryzen 5 7520U,Thin & Light Laptop (AMD Radeon iGPU/16GB RAM/512GB SSD/FHD/14/60Hz/42WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mixed Black/1.38 kg) E1404FA-NK5542WS",,,3.9 out of 5 stars,26,,,https://m.media-amazon.com/images/I/71Svo3YjmHL._AC_UY218_.jpg,"Thu, 17 Jul",
laptop,"Acer Aspire 3, Intel Core Celeron N4500, 8GB LPDDR4X, 512GB SSD, HD, 14""/35.56cm, Windows 11 Home, Pure Silver, 1.3KG, A324-45, HD Webcam, 38 WHR Laptop",,,3.4 out of 5 stars,406,,,https://m.media-amazon.com/images/I/61Y8j1QN5YL._AC_UY218_.jpg,"Fri, 18 Jul",
laptop,"Acer Aspire Lite, AMD Ryzen 3 7330U Processor, 8 GB RAM, 512 GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.6KG, AL15-41, Metal Body, Premium Thin and Light Laptop",,,3.9 out of 5 stars,"1,270",,,https://m.media-amazon.com/images/I/61keRkmSGBL._AC_UY218_.jpg,,
laptop,"Lenovo Smartchoice LOQ, Intel Core i5-12450HX, 12th Gen, RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83GS003UIN, Gaming Laptop",,,4.0 out of 5 stars,612,,,https://m.media-amazon.com/images/I/81tmCrtiRgL._AC_UY218_.jpg,,
laptop,"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU",,,4.1 out of 5 stars,"2,012",,,https://m.media-amazon.com/images/I/71K2w4+A7UL._AC_UY218_.jpg,"Fri, 18 Jul",
laptop,"Acer Aspire Lite, AMD Ryzen 3 7330U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",,,3.9 out of 5 stars,"1,270",,,https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,,
laptop,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",,,4.1 out of 5 stars,82,,,https://m.media-amazon.com/images/I/51bfKFtNSQL._AC_UY218_.jpg,"Wed, 16 Jul",
laptop,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),,,4.3 out of 5 stars,"39,828",,,https://m.media-amazon.com/images/I/71Zf9uUp+GL._AC_UY218_.jpg,,
laptop,"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue",,,3.0 out of 5 stars,403,,,https://m.media-amazon.com/images/I/61IDcxw27+L._AC_UY218_.jpg,,
laptop,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop",,,3.9 out of 5 stars,609,,,https://m.media-amazon.com/images/I/81Tj8G57-WL._AC_UY218_.jpg,,
laptop,"ASUS Vivobook 15,13th Gen,Intel Core i5-13420H(Intel UHD iGPU/16GB RAM/512GB SSD/FHD/15.6""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.70 kg) X1502VA-BQ836WS",,,3.8 out of 5 stars,58,,,https://m.media-amazon.com/images/I/71CgmbyKMFL._AC_UY218_.jpg,,
laptop,"HP 15, 13th Gen Intel Core i5-1334U Laptop(16GB DDR4, 512GB SSD), 15.6""/39.6cm,FHD,Win 11,Office 24,Microsoft 365*, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/Privacy Shutter, Backlit KB, fd0467tu",,,3.3 out of 5 stars,33,,,https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,,
laptop,"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm, FHD, Win 11, MSO 21, Silver, 1.59kg, Intel UHD Graphics, 1080p FHD Camera, 15-fd0006TU/fd0186tu",,,3.7 out of 5 stars,147,,,https://m.media-amazon.com/images/I/718ba2SBJYL._AC_UY218_.jpg,,
laptop,"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce RTX 2050/Windows 11 Home/Graphite Black/2.30 Kg), FA506NFR-HN045W",,,3.9 out of 5 stars,351,,,https://m.media-amazon.com/images/I/61xBASwU+zL._AC_UY218_.jpg,,
laptop,"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver,1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",,,3.8 out of 5 stars,26,,,https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,,
laptop,"Lenovo Ideapad 1 AMD Ryzen 5 5625U (16GB RAM/512GB SSD/Windows 11/Office Home 2024/15.6 Inch (39.6Cm)/FHD IPS Display/3Months Game Pass/Grey/1.6Kg), 82R4011CIN/0DIN Laptop",,,4.1 out of 5 stars,"2,057",,,https://m.media-amazon.com/images/I/814By4kEe5L._AC_UY218_.jpg,,
laptop,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN",,,3.9 out of 5 stars,523,,,https://m.media-amazon.com/images/I/516btukUorL._AC_UY218_.jpg,"Wed, 16 Jul",
laptop,"Lenovo Smartchoice LOQ AMD Ryzen 5 7235HS | NVIDIA RTX 3050 6GB (24GB RAM/512GB SSD/15.6"" (39.6cm)/Windows 11/Office Home 2024/100% sRGB/3 Mon. Game Pass/Grey/2.4Kg), 83JC00EFIN Gaming Laptop",,,4.1 out of 5 stars,102,,,https://m.media-amazon.com/images/I/61Ol4v72-NL._AC_UY218_.jpg,,
laptop,ULTIMUS APEX Laptop Intel Celeron Dual Core 8 GB LPDDR4 512 GB SSD Expandable~1TB 14.1 FHD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,,,3.6 out of 5 stars,8,,,https://m.media-amazon.com/images/I/713QmwFZbsL._AC_UY218_.jpg,,
laptop,"Lenovo IdeaPad Slim 3 12th Gen Intel® Core™ i5-12450H 15.6 inch (39.6cm) FHD Laptop (16GB/512GB SSD/Windows 11/Office 2024/Alexa Built-in/1Yr ADP Free/3 Month Game Pass/Arctic Grey/1.62Kg), 83ER00KPIN",,,3.9 out of 5 stars,261,,,https://m.media-amazon.com/images/I/61TRKPzWmBL._AC_UY218_.jpg,,
laptop,"CHUWI CoreBook X Pro Laptop 12thGen i5-12450H Processor 15.6"" Laptop with 16GB DDR4 RAM and 512GB SSD, FHD Display, Backlit Keyboard, Windows 11, Gray, 3xUSB3.0,1xHDMI,SD Card Slot,3.5MM,Camera Switch",,,3.6 out of 5 stars,133,,,https://m.media-amazon.com/images/I/81NZl5AXsiL._AC_UY218_.jpg,,
laptop,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop",,,3.9 out of 5 stars,609,,,https://m.media-amazon.com/images/I/81Tj8G57-WL._AC_UY218_.jpg,,
laptop,"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 16GB, 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Backlit KB, Windows 11 + MSO'24 & 15 Month McAfee, Silver, Thin & Light- 1.62kg",,,3.8 out of 5 stars,69,,,https://m.media-amazon.com/images/I/81RQ0bjUo1L._AC_UY218_.jpg,,
laptop,"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Arctic Grey/1.63 Kg), 83CQ000XIN",,,3.7 out of 5 stars,73,,,https://m.media-amazon.com/images/I/41kIqmz4S3L._AC_UY218_.jpg,,
laptop,"HP 15, Intel Ultra 5 125H, 12 Tops (16GB DDR5, 512GB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.65kg, fd1254TU, Intel Graphics, FHD Camera w/Shutter, AI Powered Laptop",,,3.0 out of 5 stars,21,,,https://m.media-amazon.com/images/I/810GYUCY+aL._AC_UY218_.jpg,,
laptop,"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver,1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",,,3.8 out of 5 stars,26,,,https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,,
laptop,"HP 15s, AMD Ryzen 5 5500U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, 15.6''/39.6 cm, Win 11, Office 21, Silver, 1.69 kg, eq2144AU, AMD Radeon Graphics, HD Camera, Dual Speakers Laptop",,,4.0 out of 5 stars,"1,128",,,https://m.media-amazon.com/images/I/71-I1PNzLSL._AC_UY218_.jpg,Alexa Built-in,
laptop,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Midnight",,,4.8 out of 5 stars,29,,,https://m.media-amazon.com/images/I/71CjP9jmqZL._AC_UY218_.jpg,,
laptop,ULTIMUS APEX Laptop Intel Celeron Dual Core 8 GB LPDDR4 512 GB SSD Expandable~1TB 14.1 FHD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,,,3.6 out of 5 stars,8,,,https://m.media-amazon.com/images/I/713QmwFZbsL._AC_UY218_.jpg,,
laptop,"HP 15 Laptop,13th Gen Intel Core i7-1355U Laptop(16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6"" FHD, Win11, M365 Basic(1yr),MSOffice 2024,Silver,1.59kg, Iris Xe, Camera w/Shutter,FPR, fd0515TU",,,5.0 out of 5 stars,7,,,https://m.media-amazon.com/images/I/71+mpbHMDgL._AC_UY218_.jpg,,
laptop,"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",,,4.3 out of 5 stars,"14,963",,,https://m.media-amazon.com/images/I/61kBmC8NfGL._AC_UY218_.jpg,,
laptop,"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver,1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",,,3.8 out of 5 stars,26,,,https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,,
laptop,"ASUS Vivobook 15,13th Gen,Intel Core i5-13420H(Intel UHD iGPU/16GB RAM/512GB SSD/FHD/15.6""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.70 kg) X1502VA-BQ836WS",,,3.8 out of 5 stars,58,,,https://m.media-amazon.com/images/I/71CgmbyKMFL._AC_UY218_.jpg,,
laptop,"Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN",,,3.8 out of 5 stars,42,,,https://m.media-amazon.com/images/I/71HMPbAf-iL._AC_UY218_.jpg,,
